airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price,date
IndiGo,2015,Chennai,Night,2,Afternoon,Goa,Business,3.53,51,4907,1/22/2023
Air India,3193,Mumbai,Afternoon,1,Evening,Hyderabad,Business,3.9,2,4914,1/23/2023
Vistara,9415,Delhi,Night,1,Night,Pune,Business,2.47,18,12174,1/24/2023
Vistara,8449,Delhi,Afternoon,2,Morning,Goa,Economy,1.59,44,5870,1/25/2023
Air India,5158,Bangalore,Evening,0,Evening,Pune,Economy,1.83,10,14720,1/26/2023
Air India,4925,Bangalore,Afternoon,2,Night,Kolkata,Business,2.25,5,13759,1/27/2023
Air India,7970,Mumbai,Morning,0,Afternoon,Pune,Economy,3.54,9,11190,1/28/2023
Vistara,7938,Delhi,Afternoon,1,Night,Goa,Business,2.59,2,12339,1/29/2023
Vistara,5784,Delhi,Morning,1,Afternoon,Hyderabad,Business,1.03,34,7085,1/30/2023
IndiGo,5000,Bangalore,Afternoon,0,Afternoon,Goa,Economy,3.09,38,14886,1/1/2023
IndiGo,2633,Delhi,Night,1,Morning,Pune,Economy,4.69,31,8546,1/2/2023
Vistara,8266,Delhi,Evening,0,Morning,Pune,Business,4.25,10,2395,1/3/2023
Air India,9702,Delhi,Morning,0,Night,Goa,Business,4.3,50,13790,1/4/2023
Air India,1384,Bangalore,Afternoon,1,Morning,Pune,Economy,4.18,12,14702,1/5/2023
IndiGo,1404,Mumbai,Afternoon,0,Morning,Kolkata,Business,2.29,36,2938,1/6/2023
Vistara,9175,Chennai,Afternoon,2,Morning,Goa,Economy,4.06,54,11828,1/7/2023
IndiGo,3000,Mumbai,Night,2,Night,Hyderabad,Business,1.57,21,12916,1/8/2023
IndiGo,6989,Chennai,Night,1,Evening,Goa,Business,3.63,49,4510,1/9/2023
SpiceJet,2460,Delhi,Morning,1,Morning,Kolkata,Economy,3.57,47,6636,1/10/2023
SpiceJet,8190,Mumbai,Morning,0,Morning,Kolkata,Economy,1.1,6,3649,1/11/2023
SpiceJet,8140,Chennai,Night,0,Night,Kolkata,Economy,4.15,48,5690,1/12/2023
Air India,4636,Bangalore,Morning,0,Evening,Kolkata,Business,4.61,49,5435,1/13/2023
Vistara,5809,Bangalore,Evening,0,Morning,Kolkata,Business,2.07,3,5201,1/14/2023
Vistara,5178,Mumbai,Evening,2,Afternoon,Hyderabad,Business,4.25,10,6179,1/15/2023
Vistara,8245,Mumbai,Night,2,Night,Pune,Business,1.33,5,14558,1/16/2023
Vistara,7600,Delhi,Morning,1,Morning,Kolkata,Economy,3.4,46,12483,1/17/2023
SpiceJet,6997,Mumbai,Afternoon,0,Morning,Kolkata,Business,2.94,26,14675,1/18/2023
Air India,3048,Delhi,Evening,0,Afternoon,Goa,Business,3.18,21,10405,1/19/2023
Air India,5780,Delhi,Night,1,Afternoon,Hyderabad,Business,4.7,45,5237,1/20/2023
SpiceJet,1716,Bangalore,Morning,0,Night,Hyderabad,Economy,4.49,26,5862,1/21/2023
Air India,8939,Bangalore,Night,0,Night,Pune,Business,4.14,38,2058,1/22/2023
SpiceJet,6565,Chennai,Afternoon,0,Afternoon,Hyderabad,Business,2.09,44,13122,1/23/2023
Vistara,5544,Bangalore,Evening,0,Night,Goa,Economy,4.65,26,6938,1/24/2023
SpiceJet,5976,Bangalore,Night,0,Afternoon,Goa,Business,1.39,8,4971,1/25/2023
Vistara,4419,Mumbai,Night,1,Morning,Pune,Business,4.41,5,11719,1/26/2023
Vistara,8239,Bangalore,Night,0,Afternoon,Goa,Economy,2.31,15,10314,1/27/2023
IndiGo,1249,Chennai,Afternoon,1,Afternoon,Kolkata,Business,1.22,59,13911,1/28/2023
SpiceJet,9865,Mumbai,Night,0,Evening,Kolkata,Business,3.68,16,11628,1/29/2023
IndiGo,1770,Chennai,Afternoon,2,Afternoon,Goa,Business,1.93,1,11354,1/30/2023
SpiceJet,5363,Bangalore,Afternoon,2,Afternoon,Pune,Economy,1.97,16,13492,1/1/2023
SpiceJet,2077,Chennai,Afternoon,2,Evening,Hyderabad,Business,2.22,37,5345,1/2/2023
IndiGo,9427,Mumbai,Evening,2,Night,Pune,Business,1.25,3,4486,1/3/2023
IndiGo,9580,Delhi,Evening,1,Evening,Hyderabad,Economy,1.71,52,2561,1/4/2023
SpiceJet,8901,Chennai,Night,1,Morning,Goa,Economy,1.02,47,5981,1/5/2023
Air India,5858,Chennai,Night,0,Evening,Goa,Business,2.78,31,8261,1/6/2023
Vistara,7544,Mumbai,Evening,2,Morning,Kolkata,Business,1.34,13,3737,1/7/2023
IndiGo,5719,Mumbai,Morning,1,Night,Hyderabad,Business,3.73,56,11096,1/8/2023
Vistara,3814,Chennai,Evening,0,Evening,Pune,Business,1.94,16,5554,1/9/2023
Air India,4374,Bangalore,Afternoon,0,Evening,Goa,Economy,4.77,55,14682,1/10/2023
Air India,2252,Chennai,Evening,1,Night,Pune,Business,4.49,43,11918,1/11/2023
Air India,7996,Mumbai,Afternoon,2,Morning,Kolkata,Economy,2.16,21,13115,1/12/2023
IndiGo,5673,Delhi,Night,0,Evening,Hyderabad,Economy,4.13,2,13723,1/13/2023
Air India,5530,Delhi,Morning,2,Morning,Hyderabad,Business,4.21,54,14098,1/14/2023
IndiGo,7881,Bangalore,Night,2,Evening,Goa,Business,4.95,27,11126,1/15/2023
Air India,7949,Chennai,Afternoon,2,Afternoon,Hyderabad,Economy,3.39,38,9095,1/16/2023
Vistara,7241,Delhi,Afternoon,0,Evening,Goa,Economy,1.33,26,10266,1/17/2023
Vistara,9017,Chennai,Afternoon,2,Night,Kolkata,Business,3.59,58,2294,1/18/2023
SpiceJet,7941,Mumbai,Morning,0,Night,Hyderabad,Economy,3.5,59,10212,1/19/2023
Vistara,8002,Delhi,Evening,2,Morning,Goa,Business,3.55,38,13434,1/20/2023
SpiceJet,2331,Bangalore,Night,0,Evening,Pune,Business,2.23,46,11230,1/21/2023
Vistara,5261,Mumbai,Night,2,Morning,Goa,Economy,4.44,25,7330,1/22/2023
IndiGo,8648,Bangalore,Evening,1,Morning,Hyderabad,Economy,4.84,11,6655,1/23/2023
Vistara,6115,Mumbai,Night,2,Afternoon,Kolkata,Business,1.87,8,3109,1/24/2023
SpiceJet,5637,Delhi,Morning,2,Afternoon,Hyderabad,Economy,1.35,8,5771,1/25/2023
SpiceJet,5854,Bangalore,Night,0,Night,Hyderabad,Business,1.78,33,10563,1/26/2023
Air India,4177,Bangalore,Afternoon,0,Morning,Goa,Business,4.28,53,8123,1/27/2023
IndiGo,8730,Mumbai,Evening,2,Night,Pune,Business,3.71,7,9647,1/28/2023
Vistara,3180,Bangalore,Morning,1,Evening,Hyderabad,Economy,3.54,38,3174,1/29/2023
Air India,5892,Mumbai,Evening,1,Morning,Pune,Business,2.61,21,3164,1/30/2023
Vistara,8043,Mumbai,Morning,0,Morning,Goa,Business,3.31,8,11284,1/1/2023
Vistara,1137,Mumbai,Afternoon,1,Evening,Pune,Business,2.23,51,11475,1/2/2023
Air India,7327,Mumbai,Evening,2,Evening,Goa,Business,2.91,54,12203,1/3/2023
Air India,4472,Delhi,Night,0,Night,Kolkata,Business,4.17,21,11037,1/4/2023
Air India,6449,Mumbai,Morning,2,Night,Pune,Business,4.92,56,12183,1/5/2023
Air India,3832,Chennai,Evening,0,Evening,Pune,Business,4.73,20,10712,1/6/2023
Air India,4579,Bangalore,Night,0,Night,Kolkata,Business,4.74,8,6466,1/7/2023
Vistara,6971,Chennai,Evening,0,Evening,Pune,Business,2.61,58,7538,1/8/2023
Air India,5164,Delhi,Evening,0,Morning,Kolkata,Business,2.88,46,14388,1/9/2023
IndiGo,8941,Chennai,Evening,1,Morning,Hyderabad,Business,3.82,31,14948,1/10/2023
SpiceJet,6569,Bangalore,Morning,2,Afternoon,Goa,Economy,4.69,50,9111,1/11/2023
Air India,5300,Chennai,Night,2,Morning,Kolkata,Business,1.57,57,10434,1/12/2023
Air India,7269,Delhi,Afternoon,2,Evening,Pune,Business,2.22,29,4800,1/13/2023
Vistara,4818,Mumbai,Morning,0,Night,Kolkata,Business,1.56,48,6607,1/14/2023
Air India,2906,Chennai,Morning,1,Afternoon,Pune,Economy,3.45,9,13088,1/15/2023
Air India,7254,Delhi,Morning,2,Night,Hyderabad,Business,2.23,15,12794,1/16/2023
Air India,1760,Delhi,Afternoon,1,Evening,Kolkata,Economy,2.3,30,9262,1/17/2023
Vistara,8830,Bangalore,Night,0,Morning,Hyderabad,Business,1.28,26,12465,1/18/2023
Air India,8350,Bangalore,Night,2,Afternoon,Goa,Business,2.4,10,3541,1/19/2023
SpiceJet,7238,Chennai,Night,1,Evening,Pune,Economy,4.45,29,4765,1/20/2023
Vistara,7090,Mumbai,Evening,0,Afternoon,Pune,Business,1.93,54,12306,1/21/2023
SpiceJet,7031,Delhi,Evening,1,Afternoon,Hyderabad,Economy,3.78,16,6491,1/22/2023
Vistara,8687,Chennai,Evening,2,Morning,Goa,Economy,3.52,36,14899,1/23/2023
Air India,9472,Delhi,Afternoon,2,Evening,Kolkata,Business,4.45,20,5083,1/24/2023
SpiceJet,2887,Delhi,Evening,0,Night,Kolkata,Business,1.53,45,7356,1/25/2023
Vistara,4266,Mumbai,Afternoon,0,Afternoon,Pune,Business,4.91,54,3857,1/26/2023
IndiGo,1666,Mumbai,Night,0,Afternoon,Hyderabad,Business,3.33,37,2769,1/27/2023
Air India,5188,Chennai,Evening,1,Night,Hyderabad,Economy,4.98,22,3422,1/28/2023
Vistara,1671,Mumbai,Evening,1,Evening,Kolkata,Economy,4.65,7,10598,1/29/2023
IndiGo,7777,Mumbai,Morning,1,Afternoon,Goa,Business,1.89,23,4972,1/30/2023
Vistara,8570,Chennai,Afternoon,0,Afternoon,Goa,Economy,1.22,41,3872,1/1/2023
IndiGo,8956,Mumbai,Night,2,Afternoon,Kolkata,Economy,2.02,40,7599,1/2/2023
Air India,6124,Bangalore,Morning,2,Evening,Kolkata,Business,3.11,29,12886,1/3/2023
SpiceJet,6585,Delhi,Morning,1,Evening,Hyderabad,Economy,1.69,16,4269,1/4/2023
IndiGo,5777,Delhi,Night,1,Night,Goa,Economy,1.67,38,7275,1/5/2023
Vistara,4900,Delhi,Morning,2,Evening,Kolkata,Business,2.85,28,6749,1/6/2023
Air India,7677,Delhi,Afternoon,2,Evening,Kolkata,Economy,1.13,48,8571,1/7/2023
IndiGo,7981,Chennai,Afternoon,1,Morning,Pune,Business,1.49,38,11373,1/8/2023
Vistara,7376,Delhi,Evening,1,Night,Kolkata,Economy,2.66,31,7072,1/9/2023
Vistara,1523,Delhi,Morning,2,Afternoon,Kolkata,Business,1.25,14,11631,1/10/2023
Vistara,3393,Delhi,Evening,0,Evening,Goa,Economy,2.59,53,13245,1/11/2023
IndiGo,3593,Delhi,Morning,1,Afternoon,Hyderabad,Economy,2.9,33,7463,1/12/2023
IndiGo,8240,Bangalore,Afternoon,2,Afternoon,Goa,Business,2.81,57,13525,1/13/2023
IndiGo,7937,Delhi,Afternoon,2,Morning,Hyderabad,Business,4.48,9,9450,1/14/2023
SpiceJet,7190,Bangalore,Afternoon,2,Evening,Pune,Business,3.12,57,13089,1/15/2023
IndiGo,6240,Chennai,Morning,2,Night,Kolkata,Business,2.87,27,13095,1/16/2023
IndiGo,7493,Mumbai,Afternoon,0,Evening,Pune,Economy,2.64,24,10420,1/17/2023
IndiGo,3878,Delhi,Morning,2,Afternoon,Hyderabad,Economy,4.27,13,5959,1/18/2023
SpiceJet,5143,Mumbai,Evening,1,Night,Goa,Economy,4.58,26,12085,1/19/2023
IndiGo,4644,Mumbai,Morning,0,Evening,Goa,Business,4.41,29,3313,1/20/2023
Vistara,5432,Chennai,Evening,2,Afternoon,Pune,Economy,3.69,51,9847,1/21/2023
IndiGo,2276,Mumbai,Morning,0,Afternoon,Hyderabad,Economy,1.55,49,3070,1/22/2023
Vistara,6811,Bangalore,Evening,1,Morning,Pune,Business,2.11,43,11166,1/23/2023
Vistara,1302,Mumbai,Afternoon,2,Morning,Pune,Business,1.18,28,11930,1/24/2023
Vistara,1638,Mumbai,Evening,1,Morning,Kolkata,Economy,4.72,28,5285,1/25/2023
SpiceJet,1055,Mumbai,Afternoon,2,Afternoon,Pune,Business,3.64,8,10949,1/26/2023
SpiceJet,9717,Delhi,Afternoon,2,Evening,Kolkata,Economy,3.99,23,5095,1/27/2023
SpiceJet,9150,Delhi,Evening,2,Morning,Kolkata,Economy,2.25,29,2320,1/28/2023
IndiGo,3125,Bangalore,Morning,2,Evening,Goa,Business,4.38,5,4321,1/29/2023
Vistara,1364,Bangalore,Morning,2,Morning,Kolkata,Economy,2.04,42,2555,1/30/2023
SpiceJet,7809,Delhi,Night,0,Night,Kolkata,Business,1.01,7,6939,1/1/2023
SpiceJet,5621,Bangalore,Morning,2,Night,Goa,Business,2.51,42,7432,1/2/2023
IndiGo,6126,Delhi,Night,2,Morning,Pune,Economy,3.28,36,3386,1/3/2023
SpiceJet,6122,Chennai,Morning,0,Afternoon,Hyderabad,Economy,2.91,41,6763,1/4/2023
IndiGo,2646,Mumbai,Morning,0,Morning,Hyderabad,Economy,4.45,27,13239,1/5/2023
Air India,1918,Mumbai,Afternoon,0,Morning,Hyderabad,Business,1.42,58,12619,1/6/2023
SpiceJet,3797,Bangalore,Night,0,Afternoon,Pune,Economy,3.22,46,8854,1/7/2023
Air India,7506,Delhi,Morning,0,Night,Kolkata,Business,3.05,2,12196,1/8/2023
IndiGo,6870,Delhi,Night,0,Evening,Hyderabad,Business,2.13,25,12122,1/9/2023
Vistara,2531,Bangalore,Afternoon,2,Morning,Pune,Economy,4.29,9,9637,1/10/2023
SpiceJet,9172,Delhi,Afternoon,2,Afternoon,Kolkata,Business,4.01,53,6841,1/11/2023
IndiGo,4345,Chennai,Night,1,Morning,Goa,Economy,3.93,27,14962,1/12/2023
Vistara,8673,Mumbai,Afternoon,2,Afternoon,Hyderabad,Economy,4.5,1,12355,1/13/2023
Vistara,7949,Bangalore,Evening,2,Evening,Kolkata,Economy,3.89,23,5867,1/14/2023
Air India,7882,Bangalore,Evening,0,Evening,Hyderabad,Economy,1.93,10,12618,1/15/2023
IndiGo,2906,Delhi,Afternoon,0,Night,Hyderabad,Economy,3.82,42,5793,1/16/2023
Vistara,4086,Bangalore,Evening,2,Afternoon,Hyderabad,Economy,2.23,52,9373,1/17/2023
SpiceJet,9152,Chennai,Morning,1,Afternoon,Kolkata,Economy,1.97,25,4513,1/18/2023
SpiceJet,6750,Delhi,Night,0,Night,Pune,Business,1.29,54,5803,1/19/2023
Air India,9905,Delhi,Morning,2,Night,Kolkata,Economy,3.98,3,4327,1/20/2023
Vistara,2062,Delhi,Night,2,Afternoon,Hyderabad,Business,3.84,6,10809,1/21/2023
IndiGo,2976,Delhi,Afternoon,1,Night,Kolkata,Business,1.94,58,4165,1/22/2023
SpiceJet,2296,Chennai,Morning,1,Evening,Goa,Business,4.0,6,5308,1/23/2023
Vistara,7229,Delhi,Afternoon,0,Morning,Pune,Economy,4.67,53,8452,1/24/2023
Vistara,8641,Bangalore,Afternoon,1,Evening,Kolkata,Business,1.43,2,10067,1/25/2023
Air India,1125,Chennai,Night,2,Night,Goa,Business,1.93,58,9642,1/26/2023
SpiceJet,5632,Mumbai,Night,2,Afternoon,Pune,Economy,4.0,58,8404,1/27/2023
SpiceJet,7288,Mumbai,Night,1,Afternoon,Goa,Economy,2.1,18,2992,1/28/2023
IndiGo,4596,Bangalore,Morning,1,Evening,Pune,Business,3.5,23,7424,1/29/2023
SpiceJet,7168,Bangalore,Evening,1,Afternoon,Kolkata,Economy,1.32,2,11569,1/30/2023
IndiGo,8561,Chennai,Night,1,Night,Goa,Economy,2.81,12,6381,1/1/2023
SpiceJet,9258,Mumbai,Night,0,Evening,Hyderabad,Economy,3.96,22,5174,1/2/2023
Air India,1232,Mumbai,Morning,1,Afternoon,Goa,Economy,3.75,37,6782,1/3/2023
SpiceJet,7371,Mumbai,Night,0,Morning,Pune,Business,4.26,20,11497,1/4/2023
IndiGo,5206,Mumbai,Morning,2,Morning,Kolkata,Economy,4.51,39,7560,1/5/2023
IndiGo,8943,Mumbai,Afternoon,1,Night,Pune,Economy,4.09,24,9460,1/6/2023
Air India,7891,Delhi,Night,0,Afternoon,Goa,Economy,3.69,48,5078,1/7/2023
SpiceJet,7738,Bangalore,Night,1,Night,Goa,Business,1.13,20,12878,1/8/2023
SpiceJet,3472,Delhi,Afternoon,2,Evening,Hyderabad,Business,3.14,1,4983,1/9/2023
Air India,3739,Mumbai,Afternoon,2,Morning,Kolkata,Economy,1.15,1,9259,1/10/2023
SpiceJet,6401,Chennai,Afternoon,2,Evening,Kolkata,Economy,4.23,17,8054,1/11/2023
SpiceJet,2761,Chennai,Night,1,Afternoon,Goa,Business,2.28,59,4523,1/12/2023
IndiGo,1876,Mumbai,Evening,1,Night,Kolkata,Economy,3.25,1,13774,1/13/2023
SpiceJet,4812,Mumbai,Evening,0,Night,Hyderabad,Economy,2.12,53,11677,1/14/2023
SpiceJet,2460,Chennai,Evening,2,Night,Pune,Business,4.13,52,12292,1/15/2023
Air India,2733,Delhi,Night,1,Evening,Kolkata,Economy,4.55,45,6581,1/16/2023
Air India,2605,Delhi,Afternoon,2,Morning,Goa,Economy,2.59,30,13907,1/17/2023
Vistara,6622,Mumbai,Night,2,Evening,Pune,Business,4.45,41,7609,1/18/2023
IndiGo,7767,Delhi,Afternoon,0,Evening,Pune,Business,2.07,47,4001,1/19/2023
SpiceJet,7986,Chennai,Night,0,Afternoon,Hyderabad,Economy,3.14,3,3387,1/20/2023
SpiceJet,4517,Delhi,Night,0,Afternoon,Goa,Business,4.44,46,13375,1/21/2023
Vistara,4735,Mumbai,Afternoon,0,Afternoon,Kolkata,Economy,2.3,55,8552,1/22/2023
SpiceJet,9434,Chennai,Evening,2,Morning,Goa,Economy,4.82,11,3030,1/23/2023
IndiGo,3590,Delhi,Afternoon,0,Morning,Pune,Economy,1.49,24,11957,1/24/2023
Vistara,2063,Bangalore,Morning,0,Afternoon,Goa,Business,1.07,22,14955,1/25/2023
IndiGo,5324,Chennai,Morning,0,Afternoon,Kolkata,Business,4.62,44,3220,1/26/2023
Vistara,6342,Chennai,Afternoon,0,Morning,Kolkata,Economy,1.27,45,13998,1/27/2023
Vistara,1005,Bangalore,Night,2,Night,Hyderabad,Economy,4.97,26,12606,1/28/2023
Air India,8489,Bangalore,Morning,0,Morning,Kolkata,Business,4.81,13,14537,1/29/2023
IndiGo,9659,Chennai,Morning,2,Morning,Kolkata,Business,1.55,1,8035,1/30/2023
SpiceJet,9195,Bangalore,Night,1,Morning,Goa,Business,3.15,24,11810,1/1/2023
SpiceJet,6966,Mumbai,Night,2,Afternoon,Goa,Economy,1.74,10,11455,1/2/2023
IndiGo,9837,Mumbai,Evening,2,Night,Pune,Business,2.71,35,8523,1/3/2023
SpiceJet,1117,Mumbai,Night,0,Morning,Hyderabad,Business,1.25,24,10074,1/4/2023
SpiceJet,3551,Chennai,Afternoon,1,Afternoon,Goa,Economy,1.9,28,11063,1/5/2023
IndiGo,6560,Bangalore,Afternoon,1,Evening,Kolkata,Economy,2.45,36,2834,1/6/2023
Vistara,5289,Bangalore,Evening,1,Evening,Pune,Economy,2.75,16,13014,1/7/2023
IndiGo,1846,Delhi,Morning,1,Morning,Goa,Business,4.91,40,11110,1/8/2023
Vistara,7316,Delhi,Morning,2,Evening,Hyderabad,Economy,4.23,16,3724,1/9/2023
SpiceJet,7469,Bangalore,Night,1,Night,Hyderabad,Economy,3.95,59,8598,1/10/2023
SpiceJet,9915,Bangalore,Afternoon,2,Evening,Pune,Economy,3.15,17,4413,1/11/2023
SpiceJet,1224,Bangalore,Morning,2,Evening,Pune,Economy,4.36,51,11505,1/12/2023
Air India,5208,Chennai,Evening,2,Night,Pune,Business,2.36,54,7993,1/13/2023
Vistara,7283,Bangalore,Evening,1,Morning,Pune,Economy,3.84,15,6498,1/14/2023
Air India,3048,Delhi,Afternoon,0,Morning,Pune,Business,4.98,16,4105,1/15/2023
Air India,7233,Chennai,Evening,0,Night,Kolkata,Business,2.26,15,4568,1/16/2023
IndiGo,2828,Bangalore,Evening,1,Night,Kolkata,Business,3.7,57,11330,1/17/2023
Air India,2917,Delhi,Afternoon,0,Night,Goa,Economy,4.38,34,2209,1/18/2023
IndiGo,5234,Chennai,Night,0,Evening,Hyderabad,Business,4.66,11,11256,1/19/2023
IndiGo,7988,Bangalore,Night,2,Night,Kolkata,Economy,3.87,1,6911,1/20/2023
Air India,3026,Bangalore,Evening,2,Afternoon,Kolkata,Economy,2.13,15,4220,1/21/2023
Vistara,4744,Bangalore,Night,1,Evening,Kolkata,Economy,2.31,26,2233,1/22/2023
Vistara,1009,Chennai,Night,1,Morning,Goa,Business,1.08,51,2792,1/23/2023
Vistara,1260,Delhi,Evening,0,Morning,Pune,Economy,4.04,4,5110,1/24/2023
Vistara,7038,Delhi,Night,2,Morning,Goa,Economy,1.17,43,4166,1/25/2023
Vistara,3219,Mumbai,Evening,1,Evening,Hyderabad,Economy,4.46,5,10526,1/26/2023
Air India,8041,Bangalore,Morning,1,Afternoon,Hyderabad,Business,1.47,35,11551,1/27/2023
Air India,3060,Mumbai,Afternoon,1,Night,Hyderabad,Business,1.69,13,7193,1/28/2023
SpiceJet,6287,Mumbai,Afternoon,1,Night,Hyderabad,Business,2.91,10,3214,1/29/2023
Vistara,2619,Delhi,Night,1,Morning,Kolkata,Economy,3.95,11,6419,1/30/2023
Air India,9512,Chennai,Night,1,Morning,Kolkata,Business,1.56,18,9314,1/1/2023
SpiceJet,2342,Chennai,Night,0,Evening,Goa,Economy,2.76,34,10475,1/2/2023
Vistara,3832,Delhi,Afternoon,2,Afternoon,Pune,Economy,2.93,39,2212,1/3/2023
IndiGo,3824,Chennai,Morning,2,Night,Hyderabad,Business,1.85,41,3658,1/4/2023
SpiceJet,2994,Mumbai,Morning,1,Evening,Goa,Economy,1.46,42,14270,1/5/2023
Air India,4490,Bangalore,Afternoon,2,Night,Kolkata,Business,4.35,50,7024,1/6/2023
IndiGo,8984,Delhi,Morning,2,Morning,Kolkata,Economy,3.01,23,11609,1/7/2023
IndiGo,2604,Bangalore,Afternoon,2,Night,Pune,Business,1.06,7,12578,1/8/2023
IndiGo,1235,Chennai,Morning,1,Afternoon,Pune,Economy,4.21,59,7917,1/9/2023
SpiceJet,2908,Bangalore,Evening,1,Afternoon,Pune,Economy,4.92,39,7141,1/10/2023
Air India,9567,Chennai,Evening,2,Morning,Goa,Economy,3.42,3,3794,1/11/2023
IndiGo,4530,Chennai,Afternoon,2,Afternoon,Kolkata,Economy,3.01,12,7988,1/12/2023
Vistara,6256,Mumbai,Morning,1,Afternoon,Kolkata,Economy,4.51,7,10296,1/13/2023
IndiGo,3635,Chennai,Night,0,Evening,Pune,Business,4.81,49,7578,1/14/2023
IndiGo,9162,Mumbai,Morning,2,Night,Hyderabad,Economy,4.02,26,7551,1/15/2023
SpiceJet,3560,Mumbai,Evening,0,Morning,Pune,Business,2.78,33,14085,1/16/2023
SpiceJet,6415,Mumbai,Evening,2,Morning,Goa,Business,3.37,37,5845,1/17/2023
Air India,4391,Delhi,Morning,0,Morning,Pune,Business,3.8,48,13882,1/18/2023
Vistara,6951,Delhi,Morning,0,Morning,Pune,Economy,1.78,15,8906,1/19/2023
SpiceJet,6468,Chennai,Night,0,Morning,Goa,Economy,2.79,2,13484,1/20/2023
IndiGo,9007,Mumbai,Night,1,Afternoon,Pune,Economy,4.32,41,2378,1/21/2023
Air India,7413,Delhi,Morning,0,Evening,Kolkata,Business,3.62,7,5293,1/22/2023
IndiGo,7941,Mumbai,Morning,0,Morning,Hyderabad,Economy,2.64,32,5329,1/23/2023
IndiGo,5820,Bangalore,Morning,0,Evening,Pune,Economy,3.65,4,6808,1/24/2023
SpiceJet,3898,Bangalore,Morning,2,Evening,Goa,Business,1.47,20,13630,1/25/2023
Air India,8546,Bangalore,Afternoon,0,Afternoon,Hyderabad,Business,2.61,50,9937,1/26/2023
Vistara,1077,Chennai,Morning,2,Morning,Goa,Business,4.17,53,2224,1/27/2023
Vistara,8577,Mumbai,Night,0,Afternoon,Hyderabad,Business,1.88,36,2737,1/28/2023
SpiceJet,5227,Bangalore,Evening,0,Morning,Hyderabad,Business,1.74,32,2235,1/29/2023
SpiceJet,1600,Delhi,Afternoon,1,Afternoon,Pune,Business,4.8,28,14470,1/30/2023
Air India,2065,Bangalore,Morning,2,Evening,Kolkata,Economy,1.84,13,2711,1/1/2023
Vistara,3136,Bangalore,Evening,0,Morning,Pune,Business,2.04,1,7988,1/2/2023
Vistara,7943,Bangalore,Afternoon,2,Night,Goa,Economy,4.88,56,3888,1/3/2023
Vistara,8804,Chennai,Evening,2,Evening,Goa,Economy,3.94,35,14910,1/4/2023
IndiGo,7565,Delhi,Morning,1,Night,Hyderabad,Economy,3.8,48,9173,1/5/2023
Vistara,6984,Mumbai,Morning,1,Evening,Hyderabad,Business,4.41,30,3259,1/6/2023
IndiGo,6142,Delhi,Night,1,Afternoon,Kolkata,Economy,1.46,54,7246,1/7/2023
Air India,5670,Mumbai,Morning,1,Morning,Pune,Business,3.82,36,9271,1/8/2023
IndiGo,3190,Chennai,Morning,1,Evening,Goa,Business,3.01,57,2748,1/9/2023
Air India,3712,Chennai,Afternoon,1,Afternoon,Hyderabad,Economy,4.32,55,14178,1/10/2023
Vistara,3192,Chennai,Night,1,Morning,Kolkata,Business,3.03,25,5551,1/11/2023
Vistara,2248,Chennai,Afternoon,1,Morning,Goa,Economy,3.48,16,8400,1/12/2023
